Name,Quantity,Type
"Cardinal Fang, Phovi",1,Core
"Cardinal Noid, Routis",1,Core
"Cardinal Noid, Excessivm",1,Core
"Cardinal Dominus, Orfist Regis",1,Core
"Cardinal Mors, Orfist Masques",4,Core
Masque of Hydragrum,2,Generic
"Cardinal Draco, Delcomanis",4,Core
"Dragontree Wretch, Kaiz Kaitwool",4,Generic
Twilight Boundary,4,Core
Eclipsed Moonlight,1,Core
Overcoming an Eternity,2,Core
Hollowing Moonlit Night,1,Core
"Dragontree Wretch, Eleme Daat",2,Generic
Polarxis Dragon,4,Core
Veirmeil Exordia,1,Generic
Fire Regalis,1,Generic
